Date,Open,High,Low,Close,Adj Close,Volume
07-08-2019,37025.26953,37104.78906,36610.57031,36690.5,36690.5,25300
08-08-2019,36808.01172,37405.48047,36655.41016,37327.35938,37327.35938,24100
09-08-2019,37521.30078,37807.55078,37406.26172,37581.91016,37581.91016,27400
13-08-2019,37755.16016,37755.16016,36888.48828,36958.16016,36958.16016,28600
14-08-2019,37233.5,37473.60938,37000.76953,37311.53125,37311.53125,22500
16-08-2019,37383,37444.44922,36974.41016,37350.32813,37350.32813,26100
19-08-2019,37485.92188,37718.87891,37358.48828,37402.48828,37402.48828,17700
20-08-2019,37441.75,37511.55078,37219.89844,37328.01172,37328.01172,20900
21-08-2019,37298.73047,37406.55078,37022.51953,37060.37109,37060.37109,28500
22-08-2019,37087.57813,37087.57813,36391.35156,36472.92969,36472.92969,33100
23-08-2019,36387.67969,36807.33984,36102.35156,36701.16016,36701.16016,38400
26-08-2019,37363.94922,37544.48047,36492.64844,37494.12109,37494.12109,35600
27-08-2019,37658.48047,37731.51172,37449.69141,37641.26953,37641.26953,36500
28-08-2019,37655.76953,37687.82031,37249.19141,37451.83984,37451.83984,28600
29-08-2019,37381.80078,37381.80078,36987.35156,37068.92969,37068.92969,31700
30-08-2019,37222.26172,37397.96875,36829.80859,37332.78906,37332.78906,33400
03-09-2019,37181.76172,37188.37891,36466.01172,36562.91016,36562.91016,23600
04-09-2019,36575.23828,36776.30859,36409.53906,36724.73828,36724.73828,25600
05-09-2019,36821.71094,36898.98828,36541.87891,36644.42188,36644.42188,27400
06-09-2019,36785.58984,37012.98047,36727.66016,36981.76953,36981.76953,23000
09-09-2019,36969.48047,37244.07813,36784.46875,37145.44922,37145.44922,25300
11-09-2019,37251.03125,37343.46094,37193.57031,37270.82031,37270.82031,36700
12-09-2019,37330.46875,37435.14844,37048.67188,37104.28125,37104.28125,27500
13-09-2019,37175.85938,37413.5,37000.08984,37384.98828,37384.98828,34300
16-09-2019,37204.55859,37302.05859,37028.94141,37123.30859,37123.30859,19900
17-09-2019,37169.46094,37169.55859,36419.08984,36481.08984,36481.08984,20500
18-09-2019,36621.37891,36712.98828,36465.92188,36563.87891,36563.87891,25400
19-09-2019,36613.92969,36613.92969,35987.80078,36093.46875,36093.46875,31700
20-09-2019,36214.92188,38378.01953,36085.73828,38014.62109,38014.62109,61000
23-09-2019,38844,39441.12109,38674.03906,39090.03125,39090.03125,2800
